"recording time (s): [0.01 ,35]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B4_11","482","13.7690996265774","0.0250611226611227","0.0645629783976106"
"B4_12","234","6.68458363613926","0.0512978540772532","0.124995396813985"
"B4_13","149","4.25642291361004","0.0755816216216216","0.160921260967487"
"B4_14","2","0.0571331934712757","1.46008",NA
"B4_21",NA,NA,NA,NA
"B4_22","4","0.114266386942551","1.44061333333333","2.31959843743121"
"B4_23",NA,NA,NA,NA
"B4_24","1","0.0285665967356379","NaN",NA
"B4_31","305","8.71281200436955","0.0392531578947368","0.126238669970558"
"B4_32","272","7.7701143120935","0.0441588191881919","0.12817686188062"
"B4_33","479","13.6833998363705","0.025018410041841","0.0838935753243073"
"B4_34","351","10.0268754542089","0.0341142857142857","0.100375443539845"
"B4_41","7","0.199966177149465","1.63264","1.82390623548471"
"B4_42",NA,NA,NA,NA
"B4_43","131","3.74222417236856","0.0916424615384615","0.192302514699588"
"B4_44","184","5.25625379935737","0.0652096174863388","0.154864313681528"
"B5_11","240","6.85598321655308","0.12205489539749","0.555636131257415"
"B5_12",NA,NA,NA,NA
"B5_13","217","6.19895149163341","0.0982151851851852","0.136173136547466"
"B5_14",NA,NA,NA,NA
"B5_21","40","1.14266386942551","0.747866666666667","1.36275831346291"
"B5_22",NA,NA,NA,NA
"B5_23","230","6.57031724919671","0.0926043668122271","0.139655228663763"
"B5_24",NA,NA,NA,NA
"B5_31","28","0.79986470859786","1.08020444444444","1.83610307648759"
"B5_32","21","0.599898531448395","1.023752","0.726301120049573"
"B5_33",NA,NA,NA,NA
"B5_34","283","8.08434687618551","0.103475744680851","0.490142624982293"
"B5_41","38","1.08553067595424","0.788525405405405","1.44426297618196"
"B5_42","32","0.914131095540411","0.941336774193548","1.52590126390141"
"B5_43",NA,NA,NA,NA
"B5_44","85","2.42816072252922","0.239441904761905","0.313140552785387"
"B6_11",NA,NA,NA,NA
"B6_12","6","0.171399580413827","5.224544","6.65526473568708"
"B6_13","113","3.22802543112708","0.293795714285714","0.444328563678261"
"B6_14",NA,NA,NA,NA
"B6_21","14","0.39993235429893","1.00148307692308","3.00519202884881"
"B6_22","765","21.853446502763","0.0429413612565445","0.149179576366739"
"B6_23",NA,NA,NA,NA
"B6_24","298","8.51284582722008","0.108102895622896","0.315426112294564"
"B6_31",NA,NA,NA,NA
"B6_32","511","14.5975309319109","0.0681792941176471","0.168522289616931"
"B6_33",NA,NA,NA,NA
"B6_34","5","0.142832983678189","6.52114","12.7269425740304"
"B6_41","6","0.171399580413827","5.302768","11.2289111521429"
"B6_42","181","5.17055400915045","0.193636888888889","0.541204581026755"
"B6_43","345","9.85547587379506","0.0941476744186047","0.274791493974535"
"B6_44","206","5.8847189275414","0.170242731707317","0.340150158618495"
"B7_11","67","1.91396198128774","0.498243636363636","0.688382411136396"
"B7_12","13","0.371365757563292","2.39488666666667","3.07046312019223"
"B7_13","160","4.57065547770206","0.215201006289308","0.397686595565719"
"B7_14","453","12.9406683212439","0.0769037168141593","0.205504797107143"
