"recording time (s): [0.01048 ,50]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2_32","1472","29.266927099902","0.0333259551325629","0.374933261700183"
"B2_33","1078","21.4332523190859","0.0454948189415042","0.421371135967204"
"B2_34",NA,NA,NA,NA
"B2_41","177","3.51918892437681","0.276341363636364","1.22813778400883"
"B2_42",NA,NA,NA,NA
"B2_43","5","0.0994121165078194","8.96832","6.81571050621528"
"B2_44","288","5.7261379108504","0.170235540069686","0.970839398488937"
"B3_11","1339","26.622564800794","0.026444245142003","0.483054874384508"
"B3_12","144","2.8630689554252","0.239663776223776","1.52169977077146"
"B3_13","71","1.41165205441103","0.472003428571429","2.26679421258617"
"B3_14","1295","25.7477381755252","0.0272725811437403","0.486891234137833"
"B3_21","276","5.48754883123163","0.126561454545455","1.12668793772193"
"B3_22","210","4.17530889332841","0.19986985645933","0.67033500026571"
"B3_23","1276","25.3699721327955","0.0277844705882353","0.489687661695425"
"B3_24","264","5.24895975161286","0.12845536121673","1.16581843688782"
"B3_31","183","3.63848346418619","0.189574505494505","1.34943158428085"
"B3_32","672","13.3609884586509","0.0524206259314456","0.683491105518711"
"B3_33","958","19.0473615228982","0.0365779728317659","0.568878898191891"
"B3_34","14","0.278353926221894","2.45647384615385","5.33605063019074"
"B3_41","1","0.0198824233015639","NaN",NA
"B3_42","287","5.70625548754883","0.121315244755245","1.07967978816842"
"B3_43","568","11.2932164352883","0.0622692063492064","0.773278419429494"
"B3_44","12","0.238589079618766","2.89377454545455","5.64797847325282"
"B4_11","784","15.5878198684261","0.0353556066411239","0.169153881307041"
"B4_12","447","8.88744321579905","0.0620276233183856","0.230163318158649"
"B4_13","165","3.28059984475804","0.162833170731707","0.445504305870767"
"B4_14","6","0.119294539809383","4.444128","5.14678352825529"
"B4_21",NA,NA,NA,NA
"B4_22","13","0.25847150292033","2.23770666666667","2.58102275279089"
"B4_23",NA,NA,NA,NA
"B4_24","3","0.0596472699046916","11.61928","3.73126106296518"
"B4_31","533","10.5973316197335","0.0519684210526316","0.22724077157594"
"B4_32","459","9.12603229541782","0.0603821834061135","0.24291722871325"
"B4_33","735","14.6135811266494","0.0377061580381471","0.186151773111876"
"B4_34","561","11.1540394721773","0.0493764285714286","0.209458863060488"
"B4_41","10","0.198824233015639","2.97233777777778","3.14950687486858"
"B4_42",NA,NA,NA,NA
"B4_43","184","3.65836588748775","0.150329180327869","0.403584110016878"
"B4_44","286","5.68637306424727","0.0969397894736842","0.307660513903634"
"B5_11",NA,NA,NA,NA
"B5_12",NA,NA,NA,NA
"B5_13",NA,NA,NA,NA
"B5_14",NA,NA,NA,NA
"B5_21",NA,NA,NA,NA
"B5_22",NA,NA,NA,NA
"B5_23",NA,NA,NA,NA
"B5_24",NA,NA,NA,NA
"B5_31",NA,NA,NA,NA
"B5_32",NA,NA,NA,NA
"B5_33",NA,NA,NA,NA
"B5_34",NA,NA,NA,NA
"B5_41",NA,NA,NA,NA
"B5_42",NA,NA,NA,NA
"B5_43",NA,NA,NA,NA
"B5_44",NA,NA,NA,NA
"B6_11",NA,NA,NA,NA
"B6_12","14","0.278353926221894","2.33056615384615","4.39999734647939"
"B6_13","137","2.72389199231425","0.354438823529412","0.663525928327635"
"B6_14",NA,NA,NA,NA
"B6_21","8","0.159059386412511","5.47648","5.45382711120671"
"B6_22","745","14.8124053596651","0.0655435483870968","0.234993680348668"
"B6_23",NA,NA,NA,NA
"B6_24","338","6.72025907592859","0.143651988130564","0.464445174429765"
"B6_31",NA,NA,NA,NA
"B6_32","632","12.5656915265884","0.0775818700475436","0.228584705024419"
"B6_33","3","0.0596472699046916","17.97576","17.8990788049888"
"B6_34","31","0.61635512234848","1.277096","2.781459042586"
"B6_41","4","0.0795296932062555","11.39136","2.8062618859971"
"B6_42","201","3.99636708361434","0.241304","0.617012785122825"
"B6_43","342","6.79978876913484","0.147090439882698","0.456612943001587"
"B6_44","324","6.4419051497067","0.152774489164087","0.385680763897221"
"B7_11","118","2.34612594958454","0.421780512820513","0.650842666015859"
"B7_12","11","0.218706656317203","4.77556","4.93314038026263"
"B7_13","262","5.20919490500973","0.190593103448276","0.348655081938419"
"B7_14","652","12.9633399926196","0.0769695852534562","0.192634468478068"
"B7_21","27","0.536825429142225","1.73980615384615","2.77869049719335"
"B7_22","199","3.95660223701121","0.253152727272727","0.403632747540311"
"B7_23","163","3.24083499815491","0.300696790123457","0.66724124898525"
"B7_24","499","9.92132922748037","0.100532048192771","0.213109221581234"
"B7_31",NA,NA,NA,NA
"B7_32","128","2.54495018260018","0.39112","0.697497974044961"
"B7_33",NA,NA,NA,NA
"B7_34","185","3.67824831078932","0.272106956521739","0.608227146499826"
"B7_41","98","1.94847748355326","0.511741855670103","0.863902098195944"
"B7_42",NA,NA,NA,NA
"B7_43","98","1.94847748355326","0.424627628865979","1.06787621332189"
"B7_44",NA,NA,NA,NA
"B8_11",NA,NA,NA,NA
"B8_12",NA,NA,NA,NA
"B8_13",NA,NA,NA,NA
"B8_14",NA,NA,NA,NA
"B8_21",NA,NA,NA,NA
"B8_22",NA,NA,NA,NA
"B8_23",NA,NA,NA,NA
"B8_24",NA,NA,NA,NA
"B8_31",NA,NA,NA,NA
"B8_32",NA,NA,NA,NA
"B8_33",NA,NA,NA,NA
"B8_34",NA,NA,NA,NA
"B8_41",NA,NA,NA,NA
"B8_42",NA,NA,NA,NA
"B8_43",NA,NA,NA,NA
"B8_44",NA,NA,NA,NA
"C1_11",NA,NA,NA,NA
"C1_12",NA,NA,NA,NA
"C1_13",NA,NA,NA,NA
"C1_14",NA,NA,NA,NA
"C1_21",NA,NA,NA,NA
"C1_22",NA,NA,NA,NA
"C1_23",NA,NA,NA,NA
"C1_24",NA,NA,NA,NA
"C1_31",NA,NA,NA,NA
"C1_32",NA,NA,NA,NA
"C1_33",NA,NA,NA,NA
"C1_34",NA,NA,NA,NA
"C1_41",NA,NA,NA,NA
"C1_42",NA,NA,NA,NA
"C1_43",NA,NA,NA,NA
"C1_44",NA,NA,NA,NA
"C2_11","382","7.5950857011974","0.0984558530183727","0.810487968315267"
"C2_12","437","8.68861898278341","0.0856247706422018","0.61048369355213"
"C2_13","98","1.94847748355326","0.376649072164948","1.7542610109816"
"C2_14","527","10.4780370799242","0.0718146007604563","0.677790711728103"
"C2_21",NA,NA,NA,NA
"C2_22","251","4.99048824869253","0.1464928","0.969303013798262"
"C2_23",NA,NA,NA,NA
"C2_24","90","1.78941809714075","0.416660674157303","1.99754930090132"
"C2_31","264","5.24895975161286","0.140638479087452","1.11785798742351"
"C2_32","3","0.0596472699046916","10.0878","6.25755560224598"
"C2_33","267","5.30860702151755","0.137852030075188","1.05896563100483"
"C2_34","6","0.119294539809383","4.03448","6.32456372009959"
"C2_41","11","0.218706656317203","2.019912","4.26118135572963"
"C2_42",NA,NA,NA,NA
"C2_43","272","5.40801913802537","0.138540221402214","1.02420155658062"
"C2_44","53","1.05376843498289","0.658687692307692","2.31123433016724"
"C3_11","608","12.0885133673508","0.0819588797364086","0.671010261995324"
"C3_12","436","8.66873655948185","0.114377747126437","0.86240338206584"
"C3_13","101","2.00812475345795","0.4971408","2.27274793407224"
"C3_14","906","18.0134755112169","0.0549916464088398","0.60053075297014"
"C3_21","861","17.1187664626465","0.0578546046511628","0.5852391236652"
"C3_22",NA,NA,NA,NA
"C3_23","18","0.35788361942815","2.22528470588235","4.37406996070896"
"C3_24","935","18.5900657869622","0.0532695503211991","0.583690648607666"
"C3_31","2","0.0397648466031277","0.0284800000000018",NA
"C3_32","370","7.35649662157863","0.134798048780488","1.07457517985546"
"C3_33","457","9.08626744881469","0.109066140350877","0.808256532988294"
"C3_34","43","0.854944201967247","1.18356761904762","3.327819699903"
"C3_41","474","9.42426864494128","0.105098012684989","0.907476308654816"
"C3_42","211","4.19519131662998","0.236838095238095","1.30156977194698"
"C3_43",NA,NA,NA,NA
"C3_44",NA,NA,NA,NA
"C4_11",NA,NA,NA,NA
"C4_12",NA,NA,NA,NA
"C4_13",NA,NA,NA,NA
"C4_14",NA,NA,NA,NA
"C4_21",NA,NA,NA,NA
"C4_22",NA,NA,NA,NA
"C4_23",NA,NA,NA,NA
"C4_24",NA,NA,NA,NA
"C4_31",NA,NA,NA,NA
"C4_32",NA,NA,NA,NA
"C4_33",NA,NA,NA,NA
"C4_34",NA,NA,NA,NA
"C4_41",NA,NA,NA,NA
"C4_42",NA,NA,NA,NA
"C4_43",NA,NA,NA,NA
"C4_44",NA,NA,NA,NA
"C5_11",NA,NA,NA,NA
"C5_12",NA,NA,NA,NA
"C5_13",NA,NA,NA,NA
"C5_14",NA,NA,NA,NA
"C5_21",NA,NA,NA,NA
"C5_22",NA,NA,NA,NA
"C5_23",NA,NA,NA,NA
"C5_24",NA,NA,NA,NA
"C5_31",NA,NA,NA,NA
"C5_32",NA,NA,NA,NA
"C5_33",NA,NA,NA,NA
"C5_34",NA,NA,NA,NA
"C5_41",NA,NA,NA,NA
"C5_42",NA,NA,NA,NA
"C5_43",NA,NA,NA,NA
"C5_44",NA,NA,NA,NA
"C6_11","67","1.33212236120478","0.758204848484848","1.59783827259808"
"C6_12","768","15.2697010956011","0.0655411734028683","0.295748493237763"
"C6_13","134","2.66424472240956","0.375871278195489","1.03769251945334"
"C6_14","1","0.0198824233015639","NaN",NA
"C6_21","704","13.997226004301","0.0714674253200569","0.252025211643122"
"C6_22","326","6.48166999630982","0.145583507692308","0.739529867384898"
"C6_23",NA,NA,NA,NA
"C6_24",NA,NA,NA,NA
"C6_31","826","16.4228816470918","0.0608986181818182","0.316743618932562"
"C6_32",NA,NA,NA,NA
"C6_33","1","0.0198824233015639","NaN",NA
"C6_34",NA,NA,NA,NA
"C6_41","671","13.3411060353494","0.0749820895522388","0.322060689656832"
"C6_42","546","10.8558031226539","0.0921856880733945","0.354220939441628"
"C6_43","58","1.1531805514907","0.794378947368421","1.61190156541193"
"C6_44","322","6.40214030310357","0.139879376947041","0.508968010433476"
"C7_11","417","8.29097051675213","0.120573076923077","0.234787949162549"
"C7_12","398","7.91320447402242","0.126262770780856","0.266856936933019"
"C7_13","131","2.60459745250487","0.361899076923077","0.55092264148841"
"C7_14","2","0.0397648466031277","1.6164",NA
"C7_21","41","0.815179355364119","1.175358","1.24656194036854"
"C7_22",NA,NA,NA,NA
"C7_23","144","2.8630689554252","0.339135664335664","0.43822972124983"
"C7_24","3","0.0596472699046916","19.05168","24.7651422188527"
"C7_31",NA,NA,NA,NA
"C7_32","7","0.139176963110947","5.86270666666667","8.14632497067154"
